Variable,Total,Available,Missing,Count_0,Percent_0,Count_1,Percent_1
is_mechanical_ventilation,28612,28612,0,25246,88.2%,3366,11.8%
is_crrt,28612,28612,0,28365,99.1%,247,0.9%
has_arterial_line,28612,28612,0,27839,97.3%,773,2.7%
is_intubated,28612,28612,0,28012,97.9%,600,2.1%
is_prone_position,28612,28612,0,24074,84.1%,4538,15.9%
has_chest_tube,28612,28612,0,27676,96.7%,936,3.3%
is_dnr,28612,28612,0,27000,94.4%,1612,5.6%
has_central_line,28612,28612,0,28128,98.3%,484,1.7%
has_hemodialysis,28612,28612,0,28143,98.4%,469,1.6%
has_niv,28612,28612,0,26907,94.0%,1705,6.0%
is_ecmo,28612,28612,0,28580,99.9%,32,0.1%
