,,Grouped by mortality_status,Grouped by mortality_status,Grouped by mortality_status,Grouped by mortality_status,Grouped by mortality_status
,,Missing,Overall,Fallecidos,Supervivientes,P-Value
n,,,2067,484,1583,
"Edad, años (μ ± σ)",,0,61.8 (15.7),70.2 (13.8),59.2 (15.4),<0.001
"IMC, kg/m² (μ ± σ)",,1311,31.7 (8.9),30.6 (8.0),32.0 (9.0),0.066
"Presión sistólica mín, mmHg (μ ± σ)",,312,105.2 (21.3),100.5 (22.7),106.7 (20.6),<0.001
"Presión diastólica mín, mmHg (μ ± σ)",,314,58.8 (11.9),55.3 (12.1),59.8 (11.6),<0.001
"SpO2 mín, % (μ ± σ)",,297,89.9 (6.5),87.6 (7.9),90.5 (5.8),<0.001
"Frecuencia cardíaca máx, lpm (μ ± σ)",,272,99.5 (21.6),103.3 (25.4),98.3 (20.1),<0.001
"Temperatura máx, °F (μ ± σ)",,328,99.2 (1.4),99.2 (1.4),99.2 (1.4),0.461
"Glucosa máx, mg/dL (μ ± σ)",,1043,205.9 (98.4),211.5 (99.6),204.0 (97.9),0.290
"Frecuencia resp máx, rpm (μ ± σ)",,310,32.9 (10.0),35.3 (10.6),32.1 (9.7),<0.001
"Creatinina máx, mg/dL (μ ± σ)",,1293,1.8 (2.1),2.1 (2.1),1.6 (2.0),0.004
"Bilirrubina máx, mg/dL (μ ± σ)",,1546,0.8 (1.0),1.0 (1.6),0.7 (0.6),0.034
"Plaquetas mín, ×10³/µL (μ ± σ)",,1518,224.1 (109.8),197.4 (114.5),234.0 (106.5),<0.001
"BUN máx, mg/dL (μ ± σ)",,1311,34.0 (27.6),45.3 (30.8),30.0 (25.2),<0.001
"PaO2 mín, mmHg (μ ± σ)",,1399,65.6 (25.3),73.6 (24.0),62.0 (25.1),<0.001
Score de severidad (μ ± σ),,0,0.1 (0.1),0.2 (0.1),0.1 (0.1),<0.001
"Sexo, n (%)",F,,785 (38.0),166 (34.3),619 (39.1),0.064
"Sexo, n (%)",M,,1282 (62.0),318 (65.7),964 (60.9),
"Ventilación mecánica, n (%)",0,,1750 (84.7),366 (75.6),1384 (87.4),<0.001
"Ventilación mecánica, n (%)",1,,317 (15.3),118 (24.4),199 (12.6),
"Intubación, n (%)",0,,1979 (95.7),458 (94.6),1521 (96.1),0.208
"Intubación, n (%)",1,,88 (4.3),26 (5.4),62 (3.9),
"CRRT, n (%)",0,,2053 (99.3),476 (98.3),1577 (99.6),0.007
"CRRT, n (%)",1,,14 (0.7),8 (1.7),6 (0.4),
"Hemodiálisis, n (%)",0,,2043 (98.8),478 (98.8),1565 (98.9),1.000
"Hemodiálisis, n (%)",1,,24 (1.2),6 (1.2),18 (1.1),
"ECMO, n (%)",0,,2055 (99.4),481 (99.4),1574 (99.4),1.000
"ECMO, n (%)",1,,12 (0.6),3 (0.6),9 (0.6),
"Posición prona, n (%)",0,,1891 (91.5),441 (91.1),1450 (91.6),0.810
"Posición prona, n (%)",1,,176 (8.5),43 (8.9),133 (8.4),
"Línea arterial, n (%)",0,,1978 (95.7),465 (96.1),1513 (95.6),0.732
"Línea arterial, n (%)",1,,89 (4.3),19 (3.9),70 (4.4),
"Línea central, n (%)",0,,2015 (97.5),466 (96.3),1549 (97.9),0.077
"Línea central, n (%)",1,,52 (2.5),18 (3.7),34 (2.1),
"Ventilación no invasiva, n (%)",0,,1869 (90.4),422 (87.2),1447 (91.4),0.008
"Ventilación no invasiva, n (%)",1,,198 (9.6),62 (12.8),136 (8.6),
