number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.25138341339923265,2026-02-26 19:09:36.439567,2026-02-26 19:09:44.170545,0 days 00:00:07.730978,0.5780093202212182,0.2904180608409973,0.06504856968981275,8,2,687,2.142302175774105,0.10129197956845731,0.7993292420985183,COMPLETE
1,0.24204765935630795,2026-02-26 19:09:44.171238,2026-02-26 19:09:49.196907,0 days 00:00:05.025669,0.6061695553391381,0.9170225492671691,0.2526878207508456,3,2,1121,0.003320559103751959,0.042051564509138696,0.9162213204002109,COMPLETE
2,0.3062608376565653,2026-02-26 19:09:49.197213,2026-02-26 19:09:53.570078,0 days 00:00:04.372865,0.6460723242676091,2.28034992108518,0.032781876533976156,4,4,761,0.8431013932082458,0.0009962513222055117,0.569746930326021,COMPLETE
3,0.29831566018716316,2026-02-26 19:09:53.570369,2026-02-26 19:10:01.074095,0 days 00:00:07.503726,0.5852620618436457,4.7444276862666666,0.0013033567475147442,6,1,869,6.732248920775334,1.1015056790269622,0.8037724259507192,COMPLETE
4,0.3138330824699518,2026-02-26 19:10:01.074417,2026-02-26 19:10:03.935228,0 days 00:00:02.860811,0.5610191174223894,0.17194260557609198,0.04953682563497157,3,5,596,3.520481045526035,0.0019674328025306126,0.7200762468698007,COMPLETE
5,0.31728326039214305,2026-02-26 19:10:03.935558,2026-02-26 19:10:10.071678,0 days 00:00:06.136120,0.5924272277627636,3.8756641168055728,0.01942099825171803,4,10,1061,4.983043837494905,2.979454462591361,0.7733551396716398,COMPLETE
6,0.307998393308087,2026-02-26 19:10:10.072086,2026-02-26 19:10:21.265513,0 days 00:00:11.193427,0.522613644455269,1.9433864484474102,0.0016565580440884786,8,4,977,0.002273762810253686,1.3921548533046488,0.5979914312095727,COMPLETE
7,0.3116347523967475,2026-02-26 19:10:21.265908,2026-02-26 19:10:25.306138,0 days 00:00:04.040230,0.9010984903770198,4.9344346830025865,0.022096526145513846,4,1,664,0.7264803074826723,0.0009853225172032562,0.5704621124873813,COMPLETE
8,0.2865918310091037,2026-02-26 19:10:25.306519,2026-02-26 19:10:27.533555,0 days 00:00:02.227036,0.8856351733429728,1.7923286427213632,0.0563600475052774,7,1,207,0.00037961668958008145,2.0678409397839475,0.8645035840204937,COMPLETE
9,0.3020363631477968,2026-02-26 19:10:27.533892,2026-02-26 19:10:33.644129,0 days 00:00:06.110237,0.6625916610133735,3.1877873567760657,0.0014369502768990666,4,8,1010,2.7293781650374735,0.022965432344634346,0.6554911608578311,COMPLETE
10,0.31814576201715167,2026-02-26 19:10:33.644414,2026-02-26 19:10:43.600919,0 days 00:00:09.956505,0.7640858921203038,3.6518344760350487,0.006315734705865418,5,10,1452,0.10750907902748504,7.070987141763786,0.9661451709558937,COMPLETE
11,0.3173462248477706,2026-02-26 19:10:43.601231,2026-02-26 19:10:54.118913,0 days 00:00:10.517682,0.7678121320177449,3.52432976466373,0.006516016429350621,5,10,1497,0.08356459879224476,9.87635235143186,0.9783489481481976,COMPLETE
12,0.3152479867006509,2026-02-26 19:10:54.119212,2026-02-26 19:11:05.670267,0 days 00:00:11.551055,0.7978094605208605,3.5058129769688,0.004885340830517091,6,10,1458,0.04438552067710751,9.124103399007037,0.9993806536575129,COMPLETE
13,0.3172028802290144,2026-02-26 19:11:05.670578,2026-02-26 19:11:14.503237,0 days 00:00:08.832659,0.761158309682082,4.134916848203009,0.0065686373170652556,5,8,1495,0.09977847783992153,0.2676227571454763,0.9996812193207756,COMPLETE
14,0.31575094440278184,2026-02-26 19:11:14.503796,2026-02-26 19:11:23.315351,0 days 00:00:08.811555,0.9972873580930842,2.7939929152165712,0.008666596944971662,5,8,1274,0.1516077279377555,0.008619024368010283,0.9182205889560972,COMPLETE
15,0.31498731164539145,2026-02-26 19:11:23.315658,2026-02-26 19:11:33.844290,0 days 00:00:10.528632,0.7060546631508642,4.169166467135654,0.003395859775904747,6,9,1297,0.008057252094433967,7.737908089328004,0.9259282947472354,COMPLETE
16,0.30978447433882567,2026-02-26 19:11:33.844587,2026-02-26 19:11:42.452457,0 days 00:00:08.607870,0.8302996229142289,2.858037041718314,0.012252865357037608,5,7,1268,0.28281823635241743,0.00011638474835594288,0.8559507412989229,COMPLETE
17,0.3095720072835705,2026-02-26 19:11:42.452755,2026-02-26 19:11:55.636484,0 days 00:00:13.183729,0.7152974178125097,3.646436027223094,0.0032582311367773007,7,6,1377,0.02571361226594668,0.22708311173103007,0.9580250876240307,COMPLETE
18,0.30621883170536457,2026-02-26 19:11:55.636784,2026-02-26 19:11:59.045983,0 days 00:00:03.409199,0.8508602079275405,4.329109216014468,0.002724139701004461,5,10,466,0.017783115985618412,0.7711171802279703,0.5019610230608531,COMPLETE
19,0.3080948960902578,2026-02-26 19:11:59.046307,2026-02-26 19:12:10.146878,0 days 00:00:11.100571,0.9574086098865774,3.1631519638115915,0.009845595514087157,7,9,1192,0.0007045432313669933,9.00145430985469,0.8524803760683968,COMPLETE
20,0.24245605566795403,2026-02-26 19:12:10.147173,2026-02-26 19:12:20.300569,0 days 00:00:10.153396,0.7586762826070333,1.2998711508428866,0.13445483603049851,6,7,1402,0.00011431541785080484,0.3833499244521218,0.7025666064514351,COMPLETE
21,0.3204404457908391,2026-02-26 19:12:20.300863,2026-02-26 19:12:26.407210,0 days 00:00:06.106347,0.6980496124387258,3.661313956034608,0.014619719182226118,4,10,1089,0.5145878171262644,3.1457662530677193,0.7900096894481049,COMPLETE
22,0.3196370990073444,2026-02-26 19:12:26.407501,2026-02-26 19:12:33.062681,0 days 00:00:06.655180,0.7072665581656886,3.4093802587773174,0.005401223194573964,4,9,1179,0.43862745774535633,3.5676744378661787,0.8831390435683453,COMPLETE
23,0.31999056772491674,2026-02-26 19:12:33.062976,2026-02-26 19:12:37.206613,0 days 00:00:04.143637,0.7023553274208203,2.6422022517277743,0.012992866734595824,3,9,910,0.5085619435658004,2.6055617292820052,0.868528278749072,COMPLETE
24,0.3212776595194776,2026-02-26 19:12:37.206908,2026-02-26 19:12:41.391238,0 days 00:00:04.184330,0.7010915218368357,2.273407107908905,0.014209017265642993,3,9,915,0.5897039046263617,2.7221353015589265,0.8267947554452812,COMPLETE
25,0.3210656226348963,2026-02-26 19:12:41.391530,2026-02-26 19:12:45.385868,0 days 00:00:03.994338,0.6537054757380495,2.390310897251647,0.014405337621572804,3,7,870,0.8311838419540633,0.8681276016428474,0.8163091323800098,COMPLETE
26,0.31665971253517516,2026-02-26 19:12:45.386162,2026-02-26 19:12:49.018294,0 days 00:00:03.632132,0.6454366816060347,2.231339584918003,0.035665197927309954,3,7,795,1.1962921701206628,0.4498684155633986,0.8070354551117065,COMPLETE
27,0.31819577082045514,2026-02-26 19:12:49.018591,2026-02-26 19:12:53.277263,0 days 00:00:04.258672,0.6807759498597832,1.7049115858352002,0.02417355531594119,3,6,930,0.20963745432584688,0.11154942886684084,0.7430435586303913,COMPLETE
28,0.3178017211487507,2026-02-26 19:12:53.277552,2026-02-26 19:12:55.445927,0 days 00:00:02.168375,0.6235332227658181,1.0518959603028675,0.015938503521624754,3,8,460,1.7681086853972667,0.72102725939349,0.8191102325383124,COMPLETE
29,0.27062553455622285,2026-02-26 19:12:55.446218,2026-02-26 19:13:01.256396,0 days 00:00:05.810178,0.5372929877952223,2.3764045759843193,0.10368801288938703,4,7,1078,1.5819482810144816,0.10027803698862352,0.7799491748418964,COMPLETE
30,0.3136609387645339,2026-02-26 19:13:01.256684,2026-02-26 19:13:04.918476,0 days 00:00:03.661792,0.7313003084365022,0.6155467087603381,0.03580351460730227,3,9,794,0.3081448766306296,0.14609376447425354,0.6790955117494323,COMPLETE
31,0.32088890481410326,2026-02-26 19:13:04.918768,2026-02-26 19:13:09.066868,0 days 00:00:04.148100,0.6776936071181332,2.722711664940845,0.013847418124885786,3,9,911,1.1257602070637593,2.5453965031693424,0.8336805476044279,COMPLETE
32,0.3204886868537728,2026-02-26 19:13:09.067164,2026-02-26 19:13:12.190636,0 days 00:00:03.123472,0.6716660506865993,3.008593549261281,0.014937461676884502,3,8,677,0.9544188780094226,1.3729843383690135,0.8260142953646396,COMPLETE
33,0.32041401290613963,2026-02-26 19:13:12.190927,2026-02-26 19:13:15.470294,0 days 00:00:03.279367,0.6251435447384522,2.031832551695001,0.026482932894755125,3,8,708,9.83496997079944,1.1650290631776858,0.8337130987510232,COMPLETE
34,0.3155463116663203,2026-02-26 19:13:15.470583,2026-02-26 19:13:18.203394,0 days 00:00:02.732811,0.6668052983542028,1.5020429735952026,0.009316610069741533,3,6,584,0.9291079059232625,0.6141814819757488,0.7418970029777656,COMPLETE
35,0.3212886613997843,2026-02-26 19:13:18.203692,2026-02-26 19:13:22.190240,0 days 00:00:03.986548,0.6248746126787934,2.891758293690361,0.017990791402998037,3,7,858,2.7251374298046738,0.044927352631767024,0.8311554812252514,COMPLETE
36,0.2892773603357822,2026-02-26 19:13:22.190531,2026-02-26 19:13:26.169125,0 days 00:00:03.978594,0.5713841308263551,2.4116889929620866,0.09124174941567866,4,5,836,3.8483096358548057,0.03673304839920156,0.885196601623158,COMPLETE
37,0.31155813185086556,2026-02-26 19:13:26.169415,2026-02-26 19:13:30.551076,0 days 00:00:04.381661,0.5000944006874093,2.166715920936883,0.041792184456345326,3,3,964,2.4904521614735873,0.008956581121088682,0.765936534006599,COMPLETE
38,0.31602555291920614,2026-02-26 19:13:30.551370,2026-02-26 19:13:36.132548,0 days 00:00:05.581178,0.6080192284768666,2.5883644047593104,0.021771821688888603,4,5,1024,9.094971588752301,0.010932380579379591,0.8892444860008539,COMPLETE
39,0.3046319814950493,2026-02-26 19:13:36.132843,2026-02-26 19:13:40.094506,0 days 00:00:03.961663,0.6425233884760794,2.626153817968534,0.07236037049257651,3,4,875,5.670800650397876,0.060080837752446076,0.8415877902073964,COMPLETE
40,0.2556065846548786,2026-02-26 19:13:40.094809,2026-02-26 19:13:43.425548,0 days 00:00:03.330739,0.5944709635493968,1.8864052041065262,0.29566145977063935,4,7,605,2.34606573903057,0.0031267935926919876,0.8045591581120244,COMPLETE
41,0.32144613092907626,2026-02-26 19:13:43.425840,2026-02-26 19:13:46.875342,0 days 00:00:03.449502,0.6777787969608957,2.9923940999531777,0.016239148683441625,3,8,752,0.9694645841492775,1.1561727135742481,0.8258814191367144,COMPLETE
42,0.32032466484938216,2026-02-26 19:13:46.875636,2026-02-26 19:13:51.360036,0 days 00:00:04.484400,0.7331931793403108,3.184364028906811,0.019040773708358213,3,9,872,0.6971314080252367,4.767128095961615,0.7626332030892518,COMPLETE
43,0.3175459822501428,2026-02-26 19:13:51.360601,2026-02-26 19:13:54.872240,0 days 00:00:03.511639,0.5563630981382691,2.8863314881325355,0.010757041088619123,3,6,742,4.125584750890291,1.6613362081777316,0.9077457602851553,COMPLETE
44,0.320919237494558,2026-02-26 19:13:54.872536,2026-02-26 19:13:58.729417,0 days 00:00:03.856881,0.620314411670609,2.4111785759872086,0.018064683666486486,3,8,817,1.5824049615293105,4.211845269544731,0.7924160574640862,COMPLETE
45,0.3161301753323596,2026-02-26 19:13:58.729716,2026-02-26 19:14:03.474087,0 days 00:00:04.744371,0.636197464796685,2.1184263849459133,0.02822556606019233,4,7,814,1.7547340197619565,4.808339363555645,0.7940538423316612,COMPLETE
46,0.3112108276067369,2026-02-26 19:14:03.474400,2026-02-26 19:14:06.027754,0 days 00:00:02.553354,0.6090982828490631,1.5875420477266728,0.007641901619148005,3,8,526,0.05004435670623528,0.8872783237312801,0.7154897245662583,COMPLETE
47,0.30410267448209627,2026-02-26 19:14:06.028050,2026-02-26 19:14:10.522059,0 days 00:00:04.494009,0.7862637474265111,2.4161196397574924,0.043852534916857214,4,7,747,6.018030083488629,0.01898382882586768,0.7385925382637037,COMPLETE
